"ts_code","symbol","name","area","industry","market","list_date"
"600583.SH","600583","海油工程","天津","石油开采","主板","20020205"
"600584.SH","600584","长电科技","江苏","半导体","主板","20030603"
"600585.SH","600585","海螺水泥","安徽","水泥","主板","20020207"
"600586.SH","600586","金晶科技","山东","玻璃","主板","20020815"
"600587.SH","600587","新华医疗","山东","医疗保健","主板","20020927"
"600588.SH","600588","用友网络","北京","软件服务","主板","20010518"
"600589.SH","600589","ST榕泰","广东","塑料","主板","20010612"
"600590.SH","600590","泰豪科技","江西","电气设备","主板","20020703"
"600592.SH","600592","龙溪股份","福建","机械基件","主板","20020805"
"600593.SH","600593","*ST圣亚","辽宁","旅游服务","主板","20020711"
"600594.SH","600594","益佰制药","贵州","中成药","主板","20040323"
"600595.SH","600595","*ST中孚","河南","铝","主板","20020626"
"600596.SH","600596","新安股份","浙江","化工原料","主板","20010906"
"600597.SH","600597","光明乳业","上海","乳制品","主板","20020828"
"600598.SH","600598","北大荒","黑龙江","种植业","主板","20020329"
"600599.SH","600599","ST熊猫","湖南","多元金融","主板","20010828"
"600600.SH","600600","青岛啤酒","山东","啤酒","主板","19930827"
"600601.SH","600601","ST方科","上海","IT设备","主板","19901219"
"600602.SH","600602","云赛智联","上海","软件服务","主板","19901219"
"600603.SH","600603","广汇物流","四川","仓储物流","主板","19920113"
"600604.SH","600604","市北高新","上海","园区开发","主板","19920327"
"600605.SH","600605","汇通能源","上海","房产服务","主板","19920327"
"600606.SH","600606","绿地控股","上海","全国地产","主板","19920327"
"600608.SH","600608","ST沪科","上海","钢加工","主板","19920327"
"600609.SH","600609","金杯汽车","辽宁","汽车配件","主板","19920724"
"600610.SH","600610","中毅达","上海","化工原料","主板","19920805"
"600611.SH","600611","大众交通","上海","公共交通","主板","19920807"
"600612.SH","600612","老凤祥","上海","服饰","主板","19920814"
"600613.SH","600613","神奇制药","上海","中成药","主板","19920820"
"600615.SH","600615","*ST丰华","上海","小金属","主板","19920910"
"600616.SH","600616","金枫酒业","上海","红黄酒","主板","19920929"
"600617.SH","600617","国新能源","山西","供气供热","主板","19921013"
"600618.SH","600618","氯碱化工","上海","化工原料","主板","19921113"
"600619.SH","600619","海立股份","上海","机械基件","主板","19921116"
"600620.SH","600620","天宸股份","上海","综合类","主板","19921117"
"600621.SH","600621","华鑫股份","上海","证券","主板","19921202"
"600622.SH","600622","光大嘉宝","上海","区域地产","主板","19921203"
"600623.SH","600623","华谊集团","上海","汽车配件","主板","19921204"
"600624.SH","600624","复旦复华","上海","化学制药","主板","19930105"
"600626.SH","600626","申达股份","上海","纺织","主板","19930107"
"600628.SH","600628","新世界","上海","百货","主板","19930119"
"600629.SH","600629","华建集团","上海","建筑工程","主板","19930209"
"600630.SH","600630","龙头股份","上海","纺织","主板","19930209"
"600633.SH","600633","浙数文化","浙江","互联网","主板","19930304"
"600635.SH","600635","大众公用","上海","供气供热","主板","19930304"
"600636.SH","600636","国新文化","上海","软件服务","主板","19930316"
"600637.SH","600637","东方明珠","上海","影视音像","主板","19930316"
"600638.SH","600638","新黄浦","上海","区域地产","主板","19930326"
"600639.SH","600639","浦东金桥","上海","园区开发","主板","19930326"
"600640.SH","600640","号百控股","上海","影视音像","主板","19930407"
"600641.SH","600641","万业企业","上海","区域地产","主板","19930407"
"600642.SH","600642","申能股份","上海","火力发电","主板","19930416"
"600643.SH","600643","爱建集团","上海","多元金融","主板","19930426"
"600644.SH","600644","乐山电力","四川","水力发电","主板","19930426"
"600645.SH","600645","中源协和","天津","生物制药","主板","19930504"
"600647.SH","600647","同达创业","上海","综合类","主板","19930504"
"600648.SH","600648","外高桥","上海","园区开发","主板","19930504"
"600649.SH","600649","城投控股","上海","区域地产","主板","19930518"
"600650.SH","600650","锦江在线","上海","公共交通","主板","19930607"
"600651.SH","600651","飞乐音响","上海","电器仪表","主板","19901219"
"600652.SH","600652","*ST游久","上海","互联网","主板","19901219"
"600653.SH","600653","申华控股","辽宁","汽车服务","主板","19901219"
"600654.SH","600654","ST中安","上海","软件服务","主板","19901219"
"600655.SH","600655","豫园股份","上海","百货","主板","19920902"
"600657.SH","600657","信达地产","北京","全国地产","主板","19930524"
